Commit SHA,Author,Date,Commit Message
22f663610a7dd2f6d96245e5363ae1c577381b46,Svetlana Ivanova,2021-07-27,[OE-1632] Handle empty production lead time
4712f61fc21685ba84e0d10c26783b58ebb7c888,Viatcheslav Ivanov,2021-07-27,fix: handle null for product avatar
1e7ad0fa981f5f1bb6cfaaeee9925772fb58d902,Svetlana Ivanova,2021-07-27,[OE-1632] Add vendor to product supplier quotes card as vendor
20d87ca84c69b44003b32f296c68d0b2f40051ee,Svetlana Ivanova,2021-07-27,[OE-1632] Add vendor to product supplier quotes card
39c2792d227f9cef15684ba617bd05929b12c2cb,Isao Kozakai,2021-07-27,[OE-1639] Modify the shipment process for sampling (#827)
fc0bf2df18a101f099c63b6a78c3a2e29f68c104,Svetlana Ivanova,2021-07-27,[OE-1651] As user I want to see a total of active POs in Active Order Widget (#837)
2917fb29b290997c0c96abd82d9565cbd9766c78,Svetlana Ivanova,2021-07-27,[OE-1632] Redesign product details page (#833)
75ba4f07f10061843cc984f47215c2f2532740ff,Svetlana Ivanova,2021-07-26,[OE-1510] Completed POs (#836)
a3afab90750ca53c07fa71eaece711c24c7c2e51,Isao Kozakai,2021-07-26,Modify error handling for draft PO submission (#834)
e01f55ae58834f6e375846191c8cfa9b95d9eda6,,2021-07-26,update dependencies (#835)
d8482f5e614a75763ab8f97ba646553135ec38b5,Svetlana Ivanova,2021-07-21,[OE-1650] Create base Active Order Widget on Dashboard page
1bb4b07a463444a01a2baed77a71b8b466db3c96,Svetlana Ivanova,2021-07-20,[OE-1685] Fix css loader
55cd2ad77d457a21fab45f25acc837379f082be1,,2021-07-20,Update dependencies to latest (#832)
949b3abf08d3b9f5b1a319ef95c76941181908cf,Svetlana Ivanova,2021-07-13,[OE-1675] Error when displaying an RFQ without an avatar on Dashboard page (#831)
fa2812e82945e233df9d23dbcc07e2bc26e9e21f,Isao Kozakai,2021-07-12,[OE-1658] Add new conditions for permission (#829)
0bd67c20e6219be29ea62e91db7de21032becaae,,2021-07-12,update dependencies (#830)
98e37501388cfb856ef457481c04c4e7d16c0f03,Svetlana Ivanova,2021-07-08,[OE-1666] Invite Users-->Cannot delete user invitation (#828)
f06d3a7f4d760e86f36b09d77f651e0113e80990,Viatcheslav Ivanov,2021-07-08,[OE-1668] Fix resend user invitation
b990db1604e5434dc6ab5c9df19afe0012f6f7f6,,2021-07-05,update dependencies (#826)
fe3f9d3cacd181a88fbaf0e80c5e1616cab71e5e,Isao Kozakai,2021-07-03,[OE-1513] Add a check if a vendor is a partner for RFQ awarding (#825)
b91e54513299fa06b272bb271b8fffec977fdbb8,Isao Kozakai,2021-06-30,[OE-1643] Make submit buttons and continue buttons disabled when file uploading is not completed (#823)
892f9547da84ff5e9acae3e1ded69828a7947ad9,Svetlana Ivanova,2021-06-29,[OE-1568] Fix production run direct link redirect (#824)
ecb415eb2a3123243989ccbce333b5c6d99aaca2,Isao Kozakai,2021-06-29,[OE-1613] Enable to get multiple design files (#822)
61cd59de612163d754e9b3e9667d1b46798e6cbf,,2021-06-28,Update dependencies to latest (#821)
4b098ddebbef49df5cc9fe15a0389e872b4a3ac4,Isao Kozakai,2021-06-28,[OE-1627] Correct User Invitation (#819)
0de0a4fe364628017b0ed1e5d1798007d5242e72,Svetlana Ivanova,2021-06-28,[OE-1636] Update production run URLs (#820)
2ebac0e6318a14c750d34ff62cf0bfd9734f310e,Isao Kozakai,2021-06-25,[OE-1613] Enable the design file to appear on Production Run Dashboard (#818)
22deca66c15fcaa06172c24bf65dcc4c142763f0,Isao Kozakai,2021-06-24,[OE-1639] Add trackingNumber (#816)
5eb265a23378036424f907cd035aea1a860ee58b,Isao Kozakai,2021-06-24,[OE-1624] Make the contents in Subscription page fit in (#817)
cf53b60fa51aa78c3d251acbf6f01c814d3d7571,Isao Kozakai,2021-06-23,[OE-1624] Change padding (#815)
3eea96329756c026cb48290252a11e16a5e2edf6,,2021-06-22,Update dependencies to latest (#813)
f79ee4ead71b45ed336a771ba6b893ffb7ccc8f2,Isao Kozakai,2021-06-22,[OE-1624] Change to use components in Table2 folder (#814)
fbab46cc2e4917d83d850de579634ec84b92ffde,Isao Kozakai,2021-06-21,[OE-1513] Include the partners count for the check for the plan activation (#808)
af3437afd2f2dd1085a0e0cdaa7a22c27ecb2ca2,Isao Kozakai,2021-06-21,[OE-1353] Refactor the actions buttons (#811)
525c51225f8891ed632815a0458f91b591f245fe,Isao Kozakai,2021-06-21,[OE-1624] Styling bug: Pages go outside the edge of the browser window (#812)
0958d72e5bd80a95cd296da8e6cc1c71fa5bd03c,Isao Kozakai,2021-06-16,[OE-1622] Update terms and conditions to latest (#810)
